;oset1;oset2;rus1;rus2;proximity;synonym
3530;иблис;хæйрæг;ловкач проныра;хитрец плут;0.37907087802886963;1
3531;æнаккагæй;азлгъагæй;подло низко;подло низко;0.8718093633651733;1
3532;дих;дихдзинад;деление разделение;обосновленность замкнутость;0.12814000248908997;1
3533;æвдузын;здухын;завинчивать завертывать;обвиваться;-0.11251772195100784;1
3534;аргъ кæнын;бæрæг кæнын;ценить дорожить хем-чем;характеризовать давать характеристику кого-чего;0.5838044881820679;1
3535;æрдзыпаддзах;гоймаг;человек;человек;0.0772881731390953;1
3536;удхар;фыдæвзарæн;истязание пытка;истязание пытка;0.39249441027641296;1
3537;аирвæзын кæнын;нæ бавæрын;упустить пропустить;упустить пропустить;0.20989133417606354;1
3538;рæуæгсæр;цъиусæр;ветреник пустышка;ветреник пустышка;0.8260442614555359;1
3539;мæнгдзурæг;цъыфкалæг;лгун лжец;клеветник кляузник;0.7065117359161377;1
3540;бастайын;удхарæй амæлын;устать утомиться;устать утомиться;0.4559490978717804;1
3541;алæмæты;сыгъзæрин;исключительный необыкновенный;жественный единственный;0.1246059238910675;1
3542;сайæг;хæйрæг;хитрец плут;хитрец плут;0.2991166412830353;1
3543;ахырхын;фæбырынкæнын;украсть похитить;украсть похитить;0.4811331033706665;1
3544;халдих суæвын;хуызæн суæвын;уподобиться стать подобным;уподобиться стать подобным;0.5963460206985474;1
3545;сылгоймагæй гуырд;удгоймаг;человек;человек;0.47550538182258606;1
3546;адзæнгæл кæнын;алыг кæнын;отрубить отсечь;преградить возвести преграду;0.5739555954933167;1
3547;ахырхын;радавын;украсть похитить;украсть похитить;0.21480020880699158;1
3548;æмбийын;сæфын;деградировать прийти  в упадок;деградировать прийти  в упадок;0.35287827253341675;1
3549;ахъæбысгæнгæйæ;ныттыхсгæйæ;обнявшись в обнимку;обнявшись в обнимку;0.8258076906204224;1
3550;æнæхъуыстгондæй;сусæгæй;секретно тайно;секретно тайно;0.1572011113166809;1
3551;æдзард;мæрдонхуыз;безжизненный;безжизненный;0.3264312446117401;1
3552;æрдз;сурет;характер;характер;0.11517971754074097;1
3553;æфстау;бæтгæмæ;взаймы заимообразно;взаймы заимообразно;0.26874420046806335;1
3554;дымын;дьмггвйæ;обвевать обдувать;дуть задувать;0.3337199091911316;1
3555;кадджын;хæрзном;почтенный достойный уважения;почтенный достойный уважения;0.4238723814487457;1
3556;æвæджиауы;æнæрцавугæ;жественный единственный;жественный единственный;0.19085478782653809;1
3557;уд уайын;фыртас;жуть;жуть;0.02334221638739109;1
3558;ныййазæлд;фæзмæн хъæр;эхо отголосок;эхо отголосок;0.20504601299762726;1
3559;зондцух;хъуаг;глупец болван;глупец болван;0.21806740760803223;1
3560;æнæаххæсгæ;æнæкæрондзинад;безграничность беспредельность;безграничность беспредельность;0.2656901180744171;1
3561;азæлд;арауд;эхо отголосок;эхо отголосок;0.15652313828468323;1
3562;зæлаг;назраг;раскатистый перикатистый;раскатистый перикатистый;0.07463712245225906;1
3563;руайын;уайын;чахнуть гаснуть;чахнуть гаснуть;0.6781687140464783;1
3564;æнæбары;денахуыр;неестественно ненатурально;неестественно ненатурально;0.126510888338089;1
3565;æмзæрдиондзинад;иудзинад;единодушие единомыслие;цельность единство;0.9133739471435547;1
3566;æнæныфс;лæмæгъдзинад;безволие слабоволие;непрочность ненадежность;0.29645082354545593;1
3567;алæмæт;диссаг;чудо феномен;чудодейственный волшебный;0.3534781038761139;1
3568;æцæгæй;æцæгдзинадæй;фактически реально;фактически реально;0.17727035284042358;1
3569;æртхуыз;сæнтсырх;багрянец багрец;багрянец багрец;0.810071587562561;1
3570;будтæфгæнаг;хæрзтæф;душистый пахучий;душистый пахучий;0.5870617032051086;1
3571;дзырдлæвæрд;ныхас;обещание слово;фраза оборот;0.2775481939315796;1
3572;аирвæзын;фервæзын;избавиться освободиться;избавиться освободиться;0.7557422518730164;1
3573;æнус коей;царды дуг;жизнь;жизнь;0.20247778296470642;1
3574;ботт-ботт кæнын;уигъын;качать раскачивать;шатать раскачивать;0.5174255967140198;1
3575;айхъусын кæнын;фехъусынкæнын;объявить;рассказать изложить;0.7370664477348328;1
3576;æнтъæрын;цæуын;ехать быстро;ходить;0.3210861384868622;1
3577;къæйгонд;сыгъд;обгорелый;обгорелый;0.1139761433005333;1
3578;æнæивгæ;иудадзыгон;постоянный;постоянный;0.24742524325847626;1
3579;æвæццæгæн;æнхъæлдæн;вероятно возможно;вероятно возможно;0.46166762709617615;1
3580;дзуапп;заæлд;отклик;отклик;0.11195653676986694;1
3581;иугъадон;фидар;постоянный;стойко мужественно;0.11409147083759308;1
3582;æвзыгъд;тылифгæнаг;молодцеватый бравый;ловкий проворный;0.19758723676204681;1
3583;аивдзинад;фидауцдзинад;чистота;изысканность утонченность;0.9550859332084656;1
3584;æнæсыбыртт;анæдымгæ;безветренный тихий;безветренный тихий;0.5636564493179321;1
3585;æрдзыпаддзах;цæрæг;человек;человек;0.1381027102470398;1
3586;æрхуымæй;ныфссастæй;уныло меланхолично;уныло меланхолично;0.5658178925514221;1
3587;къайаг;усгур;жених нареченный;жених нареченный;0.2886059880256653;1
3588;æнæбаст;скъуыд;бессвязность несвязность;дырявый худой;0.527410626411438;1
3589;джауыр;маргæйдзаг;негодяй подлец;негодяй подлец;0.45400071144104004;1
3590;куыстахуыр;фæллойхъом;работоспособный трудоспособный;работоспособный трудоспособный;0.4169270396232605;1
3591;бамбарынкæнын;райхалын;истолковать объяснить;разгадать угадать;0.33846399188041687;1
3592;идейæ;хъуыды;идея замысел;идея замысел;0.1658661663532257;1
3593;аккаг аргъ кæнын;нымайын;ценить дорожить хем-чем;читать;0.21054767072200775;1
3594;æфтиаг;тона;доход прибыль;добыча пожива;0.03916088119149208;1
3595;æууæнк;намыс;честность;честность;0.3698474168777466;1
3596;æфсиниуæг кæнын;хæдзарыкой кæнын;хозяйничать;хозяйничать;0.7086549997329712;1
3597;æнæхъинц;фæлмæнвæд;безвредный безобидный;безвредный безобидный;0.4311355948448181;1
3598;уаг;фæтк;распорядок режим;распорядок режим;0.3140089809894562;1
3599;тъæпп кæнын;фадын;трескаться давать трещину;трескаться давать трещину;0.29707515239715576;1
3600;бырын;тальд тæхын;ехать быстро;ехать быстро;0.4170958399772644;1
3601;бæстыхай;къуым;территория земля;жилище дом;0.20204909145832062;1
3602;аарсабыр кæнын;басæттын;подавить заглушить;подавить заглушить;0.3566874861717224;1
3603;æвæрæнтæ;хæринаг;харч пища;харч пища;0.3220791518688202;1
3604;æгæнон митæ кæнын;фыдуагкæнын;шалить;шалить;0.5381044745445251;1
3605;кæлæнтæ;къамæй фарст;чары;ворожба колдовство;0.3166945278644562;1
3606;раст;сыгъдæг;чисто;чисто;0.25160181522369385;1
3607;хуыцауыраттинаг;цæрæгуд;человек;человек;0.32562190294265747;1
3608;маймули митæ кæнын;ракъæдз-бакъæдз кæнын;кривляться ломаться;кривляться ломаться;0.6343109011650085;1
3609;иуварс хизын;иуварскæнын;отклоняться;отклоняться;0.4795486032962799;1
3610;алæмæттаг;кæлæнгæнæг;чудодейственный волшебный;чародей волшебник;0.24963803589344025;1
3611;еййафын;хæццæ кæнын;догонять нагонять;дотягиваться доставать;0.3143576383590698;1
3612;сахъат кæнын;цæнкуылтæ кæнын;калечить делать  калекой;калечить делать  калекой;0.7183812260627747;1
3613;уæлмонцад;уæлтæмæн;вдохновение;вдохновение;0.6527354121208191;1
3614;куырмдзинад;сайд;заблуждение ошибка;измена неверность;0.4836256802082062;1
3615;нывгонд;ныффыст;написание начертание;написание начертание;0.27444761991500854;1
3616;æнæгъдауæй;æнæуæзданæй;аляповато топорно;аляповато топорно;0.5256493091583252;1
3617;æнкъарæг;зæрдæзмæлынгæнаг;сентиментальный чувствительный;сентиментальный чувствительный;0.6012117266654968;1
3618;бафтаугæ;уæлдай;дополнительный добавочный;чрезмерный непомерный;0.18962740898132324;1
3619;худæнбыл;хъæлдзæг;улыбчивый у;улыбчивый у;0.4789063036441803;1
3620;заночеватъ;переспатъ;айсын бафалдаер каенын;айсын бафалдаер каенын;0.6323968172073364;1
3621;басудзын;бацъыхырыуæвын;обжечь ожечь;обвариться ошпариться;0.4123600423336029;1
3622;сайд;хъуаг;измена неверность;глупец болван;0.14261561632156372;1
3623;адджын;зæрдæйыуидаг;любимый милый;любимый милый;0.32688722014427185;1
3624;ныфссастæй;хъынцъымгæнгæ;уныло меланхолично;уныло меланхолично;0.6654838919639587;1
3625;исты;цыу;что;что;0.11986450850963593;1
3626;æфсон;хиндзинад;уловка увертка;хитроумие;0.04503237456083298;1
3627;хъазын;хъир-хъур кæнын;шутить пересыпать речь шутками;играть исполнять;0.32111263275146484;1
3628;бааууон;басусæг;скрытие укрытие;скрытие укрытие;0.527286171913147;1
3629;æлдар;уæздан;хозяин;деликатный тонкий;0.30279314517974854;1
3630;æнæкъæм;хæрзæххæст;идеальный безукоризненный;идеальный безукоризненный;0.3820827603340149;1
3631;мæрддзæст;хæраг;скряга скупец;обжора чревоугодник;0.6909268498420715;1
3632;æрсæйын;æруатон уæвын;заболеть занемочь;заболеть занемочь;0.32912468910217285;1
3633;здухын;нуæрдын;обвиваться;кутаться закутываться;0.7524189949035645;1
3634;зæрдæмæгуыргæнæг;тугмондаг;жестокий;жестокий;0.35621699690818787;1
3635;бынат;зæхх;район зона;территория земля;0.1433027982711792;1
3636;гоймаг;дыкъахыг;человек;человек;0.28403356671333313;1
3637;гæпдугъæй;хæлофæй;торопливо поспешно;торопливо поспешно;0.062293220311403275;1
3638;гоймаг;сылгоймагæй гуырд;человек;человек;0.47371578216552734;1
3639;лæг;хуыцауыраттинаг;человек;человек;0.36868491768836975;1
3640;бапырх кæнын;скалын;забрызгать обрызгать;забрызгать обрызгать;0.43362751603126526;1
3641;нымдгæнæг;хиуылхæцгæ;деликатный тонкий;степенно серьезно;0.2672772705554962;1
3642;тагъьддзинад;цырддзинад;быстрота стремительность;быстрота стремительность;0.986270010471344;1
3643;рæвдаугæ;цингæнаг;ласковый мягкий;улыбчивый у;0.5999138951301575;1
3644;ахъуыдыкагнын;ныхъхъуыдыкæнын;задуматься;задуматься;0.8043875098228455;1
3645;тагъдкæнынад;хæлофдзинад;торопливость поспешность;торопливость поспешность;0.1875256896018982;1
3646;æцæгæй;бæлвырд;фактически реально;фактический реальный;0.25448817014694214;1
3647;бæстæ;бынат;край местность;район зона;0.23489271104335785;1
3648;аргъауын;нымайын;читать;читать;0.08551815897226334;1
3649;зæрдæлхæнгæйзæ;козбаугæнгæйæ;льстиво вкрадчиво;льстиво вкрадчиво;0.3498535752296448;1
3650;æмзæлынад;аивзæпынад;благозвучие благозвучность;благозвучие благозвучность;0.8336946964263916;1
3651;сабидзинæд;сабидуг;детство малолетство;детство малолетство;0.532384991645813;1
3652;æнкъардæй;зæрдæрисгæ;печально невесело;тягостно неприятно;0.5360696315765381;1
3653;буц дарын;фыдахуыркæнын;баловать;баловать;0.24052420258522034;1
3654;гæбаз;гæппæл;кусок клок;кусок клок;0.3663792908191681;1
3655;нæрст;уæцæфджын;толстяк пузан;толстяк пузан;0.426512748003006;1
3656;акæлын;фемæхсын;потечь заструиться;потечь заструиться;0.4328964054584503;1
3657;æмбийын;ныззаууат уæвын дезинфекция;деградировать прийти  в упадок;деградировать прийти  в упадок;0.34872737526893616;1
3658;рæузонд;рæучи;ветреник пустышка;ветреник пустышка;0.06521104276180267;1
3659;удгоймаг;цæрæг;человек;человек;0.1357099711894989;1
3660;алы уысм;алысахат;часто нередко;часто нередко;0.25099045038223267;1
3661;иудзинад;иумæйагдзинад;цельность единство;общность одинаковость;0.891468346118927;1
3662;галгуыбын;хæраг;обжора чревоугодник;обжора чревоугодник;0.7820558547973633;1
3663;авнæдомд;сонт;бедовый;безрассудный безумный;0.014851223677396774;1
3664;æрзæткъахæн;хохгæрдæн;шахтерский горняцкий;шахтерский горняцкий;0.4732336699962616;1
3665;сæр;хъуыдыдзинад;часть;ум умственные  способности;0.17854247987270355;1
3666;фыдгой;хахуырдзинад;клевета оговор;клевета оговор;0.009680742397904396;1
3667;фæуæлахиз уæвын;фæуæлдæр уæвын;превозмочь преодолеть;превзойти перегнать;0.7494180202484131;1
3668;дам кæнын;дам-дум кæнын;клеветать оговаривть;клеветать оговаривть;0.6176466941833496;1
3669;арæх;зындгонд;часто нередко;употребительный распространенный;0.1525888890028;1
3670;дарæсæфснайæн скъапп;дарæсæфснайеæнуат;гардероб;гардероб;0.7335832715034485;1
3671;кацыфæнды;цыфæнды;любой;любой;0.8000805974006653;1
3672;загъд;фидар кæнын;фраза оборот;констатация установление;0.173789381980896;1
3673;æмбæлон;хуымæтаæг;нормальный соответствующий норме;нормальный соответствующий норме;0.06882518529891968;1
3674;их кæнын;сийын кæнын;холодать леденить;холодать леденить;0.4645965099334717;1
3675;тæрваз;фæлгуыр;обрамление рамка;обрамление рамка;0.23988904058933258;1
3676;æвзæр хидард;денæгъдаудзинад;невоспитанность дурные манеры;невоспитанность дурные манеры;0.3029424846172333;1
3677;къулер;фидиуæг;курьер посыльный;курьер посыльный;0.37508144974708557;1
3678;маæнгард;хæйрæджджын;дьявольский сатанинский;дьявольский сатанинский;0.32446640729904175;1
3679;сæрбæрзонддзинад;сæрыстырдзинад;гордость;гордость;0.8861204385757446;1
3680;евзæргæнæг;фыдгæнæг;бандит грабитель;пират корсар;0.8959806561470032;1
3681;дæсны;зæрдæргъæвд;чародей волшебник;талантливый даровитый;0.41201937198638916;1
3682;æрлæууын;цæстуынгæ скæнын;акцентировать выделить;изобразить показать;0.30909833312034607;1
3683;æнæфау;хæрзæххæстæй;идеальный безукоризненный;идеально безукоризненно;0.4576115012168884;1
3684;иудадзыгон;фидар;постоянный;стойко мужественно;0.1679004281759262;1
3685;æнæджелбет;днæуæздан;грубо;грубо;0.39686205983161926;1
3686;ныфсæвæрд;ныхас;обещание слово;фраза оборот;0.2570948302745819;1
3687;мырхын;хырхын;красть воровать;красть воровать;0.8392410278320312;1
3688;æнæтæригъæд;фаэлмæнзæрдæ;безвредный безобидный;безвредный безобидный;0.6439951658248901;1
3689;рæвдздзинад;тагъддзинад;быстрота стремительность;быстрота стремительность;0.9379128217697144;1
3690;æнæбайуаргæ;æнæхъæн;единый;единый;0.2162618339061737;1
3691;зын;уæззау;хлопотливый хлопотный;тягостно неприятно;0.21836324036121368;1
3692;фæдис казнын;хъæрахст кæнын;реветь орать;реветь орать;0.43474605679512024;1
3693;зæрдæмæдзæугæдзинад;рæсугъддзинад;очарование прелесть;очарование прелесть;0.7869036197662354;1
3694;тæрсгæ-ризгæ;тарстхуызæй;боязливо пугливо;боязливо пугливо;0.7544040679931641;1
3695;удæй хъазын;удхарæй марын;мучить истязать;мучить истязать;0.3127857744693756;1
3696;тагъдкæнынад;тындзынад;торопливость поспешность;спешка спешность;0.6019013524055481;1
3697;сфæлхас кæнын;схардз кæнын;истратить израсходовать;потратиться пойти на расходы;0.7680196166038513;1
3698;къæхты уынæр;тъæпп-тъæпп;топот топотание;топот топотание;0.40358808636665344;1
3699;кæцыдæриддæр;кацыфæнды;любой;любой;0.28905749320983887;1
3700;æнкъардæй;сагъæсгæнгæ;печально невесело;печально невесело;0.666703999042511;1
3701;гæдымидзинад;къленцдзинад;жеманство кривляние;жеманство кривляние;0.976792573928833;1
3702;æвæджиауы;замманай;жественный единственный;жественный единственный;0.20114897191524506;1
3703;зэнæсцух;иугъадон;постоянный;постоянный;0.18300697207450867;1
3704;æнгом;аамыр;наглухо плотно;наглухо плотно;0.17149367928504944;1
3705;равзарын;хъæндзинæдтæм амонын;рассортировать разобрать;критиковать подвергать критике;0.4201379120349884;1
3706;æнæивгæ;алыбойнон;постоянный;постоянный;0.15589302778244019;1
3707;дзырд хæссын;хъаст хæссын;жаловаться;жаловаться;0.631920337677002;1
3708;æххæстдзинад;бæрзонд нысан;идеал;идеал;0.18888190388679504;1
3709;бырынчъытæ;цæсгом;лицо физиономия;честность;0.43412259221076965;1
3710;кæцыдæриддæр;цавæрфæнды;любой;любой;0.32603397965431213;1
3711;базонын кæнын;сбындур кæнын;узаконить легализовать;узаконить легализовать;0.6413040161132812;1
3712;æнкъарддзинад;æрхæндæг;уныние грустное  настроение;уныние грустное  настроение;0.34737664461135864;1
3713;арвитын;ацух кæнын;послать выслать;устранить исключить;0.34940192103385925;1
3714;æвæ;рæузæрдæ;беззаботный;беззаботный;-0.08720038831233978;1
3715;дыууæрдæм кæнын;змазлын;двигаться передвигаться;двигаться передвигаться;0.20409497618675232;1
3716;сæруæлдай;уæндаг;удалой разудалый;удалец отчаянный;0.41597115993499756;1
3717;азæлд;ныццарауд;эхо отголосок;эхо отголосок;0.14409705996513367;1
3718;зынæй;тыхæй;еле едва;еле едва;0.29298731684684753;1
3719;арт;удцырын;энтузиазм воодушевление;энтузиазм воодушевление;0.12274591624736786;1
3720;багуыбынджын уæвын;базæрдæхсайгæ уæвын;забеременеть зачать;забеременеть зачать;0.782699465751648;1
3721;кæрæдзи ивын;радыгай ивын;чередоваться перемежаться;чередоваться перемежаться;0.7561634182929993;1
3722;аргъ кæнын;нымайын;ценить дорожить хем-чем;читать;0.22946320474147797;1
3723;зилæнтæ;иумаэйаг;ходатайство;ходатайство;0.16407011449337006;1
3724;сæрфат;уагæвæрд;распорядок режим;распорядок режим;0.18839597702026367;1
3725;уæлбæрц;фыр бирæ;чрезмерный непомерный;чрезмерный непомерный;-0.008814288303256035;1
3726;нæргæ;цымыдиссаджы;сенсационный громкий;сенсационный громкий;0.25087445974349976;1
3727;ахизын;фæфылдæр уæвын;превысить превзойти;превысить превзойти;0.24792256951332092;1
3728;сусæг;фæдзæхстгонд;укромный уединенный;заветный заповедный;0.19071798026561737;1
3729;уæлæмæ;уæларвмæ;вверх кверху;вверх кверху;0.31396839022636414;1
3730;бамбæрзын;састæрын;облицевать обложить;облицевать обложить;0.5511325001716614;1
3731;анæфау;дзæбæх;хороший неплохой;чисто;0.12505029141902924;1
3732;къуырттытæ кæнын;мыхъхъытæ кæнын;толкаться пихаться;толкаться пихаться;0.8185226917266846;1
3733;ард;сомы;клятва обет;уверение заверение;0.18228021264076233;1
3734;æнæуынгæ;зынрахатæн;незаметный неприметный;незаметный неприметный;0.3206550180912018;1
3735;бафæллайын кæнын;фæхудын кæнын;рас;рас;0.926120936870575;1
3736;узæлгæ;хæлар;ласковый мягкий;ласково мягко;0.24217116832733154;1
3737;æххуырстылæууын;æххуырстыцæуын;наниматься подряжаться;наниматься подряжаться;0.7524796724319458;1
3738;незамантæй нырмæ;рагæй;издавна с давних пор;издавна с давних пор;0.4589759409427643;1
3739;æмдых;æмузаз;равнозначный равнозначащий;равнозначный равнозначащий;0.0870957225561142;1
3740;гæртт-гæртт;ризын;дрожь дрожание;дрожь дрожание;0.7345261573791504;1
3741;бæрц;кадуарзаг нымазц;честолюбивый славолюбивый;честолюбивый славолюбивый;0.15786749124526978;1
3742;зæрдæмæхæссаг;казуынæмхиц;сентиментальный чувствительный;сентиментальный чувствительный;0.6285604238510132;1
3743;зæрдæйæ =еппарын;сæрæй аппарын;забывать;забывать;0.6153044104576111;1
3744;ныззаууат уæвын дезинфекция;хæлын;деградировать прийти  в упадок;деградировать прийти  в упадок;0.1502009481191635;1
3745;бамидæг уæвын;скуыси уæвын;добраться достигнуть;добраться достигнуть;0.725465714931488;1
3746;æмгар;æмдæндаг;ровесник сверстник;ровесник сверстник;0.2667226195335388;1
3747;уарзондзинад;фырмонц;любовь привязанность;любовь привязанность;0.2738935351371765;1
3748;узæлгæ;цингæнаг;ласковый мягкий;улыбчивый у;0.41157498955726624;1
3749;бамбæхсæн;фысымуат;убежище укрытие;убежище укрытие;0.050799209624528885;1
3750;арæхстджын;хæрзарæхст;умелый искусный;умелый искусный;0.5992851257324219;1
3751;гакъон;фавзилæн;изгиб выгиб;изгиб выгиб;0.5784939527511597;1
3752;бавæрын;бафснайын;сэкономить сберечь;упаковать запаковать;0.3502500653266907;1
3753;уæндаг;хъæбатыр;удалец отчаянный;;0.14993998408317566;1
3754;рæвдыддзинад;фæлмæндзинад;ласковость мягкость;нежность мягкость;0.9508556127548218;1
3755;æфсон;бындурæвæрддзинад;уловка увертка;обоснованность основательность;0.057814937084913254;1
3756;аргъ кæнын;стыр аргъь кæнын;ценить дорожить хем-чем;ценить дорожить хем-чем;0.7556784749031067;1
3757;æвæгæсæг;рохуатыуагъд;заброшенный;заброшенный;0.37240347266197205;1
3758;æхсгæ каст бакæнын;бакæсдзыстæм;по;по;0.4540952742099762;1
3759;бамидæг уæвын;бахæццæ уæвын;добраться достигнуть;добраться достигнуть;0.6404348015785217;1
3760;сæрыстырæй;хъал;степенно серьезно;щеголь франт;0.425194650888443;1
3761;фесафын;фехалын;упустить пропустить;испортить погубить;0.4739803969860077;1
3762;ныссæндын;ныцъцъисткæнын;подавить заглушить;подавить заглушить;0.3570449948310852;1
3763;мæнгард;фаæливæг;негодяй подлец;коварный вероломный;0.454362690448761;1
3764;дзæнг-дзаæнг;лæхурд;болтовня трескотня;болтовня трескотня;0.4081552028656006;1
3765;фæлгæт;фæлгуыр;обрамление рамка;обрамление рамка;0.4748792052268982;1
3766;мæтъæлдзинад;хъынцъым;уныние грустное  настроение;уныние грустное  настроение;-0.04090653359889984;1
3767;æргомаæй;бæлвырдæй;определенно ясно;убедительно веско;0.14242127537727356;1
3768;иæлæлæй кæнын;хъæр кæнын;реветь орать;разглашать разбалтывать;0.75755774974823;1
3769;фидауц;хæрзуынддзинад;очарование прелесть;красота;0.29927563667297363;1
3770;азимаг;аипджын;предосудительный плохой;предосудительный плохой;0.18046881258487701;1
3771;зонындзинæдтæ бæрæг кæнын;фæлварын;экзаменовать подвергать экзамену;эксперементировать делать  опыты (или;0.3680216372013092;1
3772;разæнгарддзинад;сфæлдыстадон  уæлмонц;энтузиазм воодушевление;вдохновение;0.16156356036663055;1
3773;маст кæнын;утæхсын;горевать грустить;горевать грустить;0.47619327902793884;1
3774;аразын;раст кæнын;исправлять;исправлять;0.2878800630569458;1
3775;зын;зынфæразæн;хлопотливый хлопотный;обременительный тягостный;0.2394913285970688;1
3776;фезмæлын;фесхъиуын;двинуться передвинуться;вздрогнуть дрогнуть;0.582282304763794;1
3777;бесподобный;сказочный;изумительный несравненный;изумительный несравненный;0.8621364831924438;1
3778;куыст;хъуыддаг;специальность профессия;специальность профессия;0.22719720005989075;1
3779;ихæн;хъызт;холод;холодный;0.29349663853645325;1
3780;ниуын;хъаст кæнын;жаловаться;жаловаться;0.07662001252174377;1
3781;æнæвнæлд;хъæддаг;первозданный первобытный;первозданный первобытный;0.21218684315681458;1
3782;лозунг;призыв;маенг маенгдзинад;маенг маенгдзинад;-0.14122790098190308;1
3783;æнæмæнг;цыфæндыйæдæр;фактический реальный;обязательно непременно;0.18912695348262787;1
3784;суадоныдон;сыгъдæг дон;ключевой родниковый;ключевой родниковый;0.5778569579124451;1
3785;алвасын;бынмæ хæцын;давить;давить;0.5506797432899475;1
3786;уæлкурдиат;уæлмонц;энтузиазм воодушевление;энтузиазм воодушевление;0.31792503595352173;1
3787;фæткон;фыдæлтæй баззайгæ;традиционный освященный традицией;традиционный освященный традицией;0.23474180698394775;1
3788;иухаттон;уæлвæткон;единовременный;исключительный необыкновенный;-0.0938919186592102;1
3789;амалджын;сæрæн;ловкий проворный;ловкий проворный;0.30780699849128723;1
3790;базылын кæнын;фæаххосджын кæнын;уличить изобличить;уличить изобличить;0.6941373348236084;1
3791;комдзогдзинад;сайд;измена неверность;измена неверность;0.49094152450561523;1
3792;бацауæрдын;фæцаузæрдын;пощадить пожалеть;пощадить пожалеть;0.833490252494812;1
3793;дзаджджын;парахат;обильный изобильный;размашисто широко;0.10685715079307556;1
3794;æгæр;уæлбæрц;чрезмерный непомерный;чрезмерный непомерный;0.23908673226833344;1
3795;æргом;æргомзæрдæйæ;определенно ясно;искренне непритворно;0.4916089177131653;1
3796;æдзæлгъæд;змæст;беспорядочность бессистемность;беспорядочность бессистемность;0.20626014471054077;1
3797;бакæсдзыстæм;ракæсын;по;по;0.397876501083374;1
3798;мæрддзæстдзинад;чъындыдзинад;скупость жадность;скупость жадность;0.9175295233726501;1
3799;равдыст;фæлгонцгонд;трансляция передача;раскрашенный;0.2955779433250427;1
3800;великолепный;дивный;изумительный несравненный;изумительный несравненный;0.6741427779197693;1
3801;æппæлæн ныхас;стауæн;аллилуйщина превозношение;хвалебный восторженный;0.5816548466682434;1
3802;æвналын;хæцын;хвататься схватываться;хвататься схватываться;0.19225062429904938;1
3803;развдаугæ;хæлар;ласково мягко;ласково мягко;0.26426583528518677;1
3804;зилын;уылæнтæ;ходить;ходить;0.22706124186515808;1
3805;ныйилæлæй кæнын;ныффæдис кæнын;крикнуть издать крик;закричать поднять крик;0.8162817358970642;1
3806;уæлдæр лæууын;хуыздæр уæвын;превосходить затмевать;превосходить затмевать;0.28901606798171997;1
3807;æнæсдзырддзинад;фæндхъуагдзинад;безволие слабоволие;безволие слабоволие;0.8960724472999573;1
3808;адамы фырт;дыкъахыг;человек;человек;0.17642444372177124;1
3809;æдас;æнæтæригъæд;безвредный безобидный;безвредный безобидный;0.13180571794509888;1
3810;уæздандзинад;фидауцдзинад;изысканность утонченность;изысканность утонченность;0.8990426063537598;1
3811;фæллайæн;фæлмæцынгæнаг;утомительный изнурительный;утомительный изнурительный;0.5811210870742798;1
3812;иртæстдзинад;хибардзинад;обосновленность замкнутость;обосновленность замкнутость;0.8599611520767212;1
3813;æнæмæнг;бæлвырд;фактический реальный;фактический реальный;0.3017960488796234;1
3814;æнæхъæндзинад;æнгомдзинад;цельность единство;сплоченность монолитность;0.8993523716926575;1
3815;къæхтыл нал лæууын;ныффæлмæцын;устать утомиться;устать утомиться;0.5668579339981079;1
3816;æнæбары;æнæрхъуыдыйæ;неестественно ненатурально;сгоряча вгорячах;0.3559299409389496;1
3817;бæрæг уыдзæн;фенгæйæ у;по;по;-0.02397749200463295;1
3818;æвзыгъдæй;разæнгардæй;активно деятельно;охотно с охотой;0.32729867100715637;1
3819;къæртгай;хæйттыл;вдребезги на куски;вдребезги на куски;0.4544190764427185;1
3820;евзæргæнæг;стигъæг;бандит грабитель;разбойник башибузук;0.129738911986351;1
3821;дзамбаз;къуылых;хромой хромоногий;хромой хромоногий;-0.17255085706710815;1
3822;кæрдгæныв;цыртсураæт;статуя скульптура;статуя скульптура;0.3135016858577728;1
3823;къахдзæф;сгуыхтдзинад;акция шаг;акция шаг;0.11065016686916351;1
3824;æнæдызæрдыг;æнæхъуыдыгонд;убедительный веский;бессознательный безотчетный;0.31366264820098877;1
3825;тыхгæнæг;фыдгæнæг;угнетатель притеснитель;пират корсар;0.9304608106613159;1
3826;иу цасдæр;цæмæйдæр;частично отчасти;частично отчасти;0.021109065040946007;1
3827;дзырдлæвæрд;ныфсæвæрд;обещание слово;обещание слово;0.7620389461517334;1
3828;бындзытæ;пайда;доход прибыль;выгода интерес;0.1286960244178772;1
3829;къулбадæг;фыдуаг;шалун проказник;шалун проказник;0.5979947447776794;1
3830;æнæтæригъæддзинад;æнаэхатырдзинад;бессердечность бессердечие;бессердечность бессердечие;0.9268678426742554;1
3831;бавдисын;фæбæрæг кæнын;изобразить показать;изобразить показать;0.32920771837234497;1
3832;кæсын;къæм бадын нæ уадзын;читать;оберегать;0.28946956992149353;1
3833;сæрæн;хъуыддагзонæг;ловкий проворный;дельный деловой;0.2928861081600189;1
3834;бафыст;фиддон;уплата оплата;уплата оплата;0.4780545234680176;1
3835;кæронбёеттæны;фæстаг;заключительный завершающий;худший наихудший;0.17873895168304443;1
3836;мæнгдзурæг;фæлывд;лгун лжец;лгун лжец;0.16113807260990143;1
